German Occupation Titles,English Translation
Abiturient,High School Graduate
Abstreicher,Scraper (Typogr.)
Ackermann,Plowman
Administrator,Administrator
Advokat,Lawyer
Aero-,Air-
Agent,Agent
Agronom,Agronomist
Amtsdiener,Usher
Angestellte,Employee
Angestellte der Naftagruben,Employee of the crude oil (Nafta) mining
Angestellter,"Employee, Clerk"
Ankleider,Dresser
Anlagen-Buchhalter,Factory bookkeeper
Anreisser,Scriber
Anstreicher Melor,Painter
Anstreicher und Schildermader,House painter and Signwriter
Anstreichergehilfin,Assistant Painter (female)
Anwalts,Attorney
Apotheker,Pharmacist
Apretturarbeiter,Finisher
Arbeiter,Worker / laborer
Arbeiternachweis,Employment office worker
Arbeitsinspektor,Work Inspector
Archeolog,Archeologist
Architekt,Architect
Armaturschloßer,Armature Locksmith
Artist,Artist
Ärtzlichegehilfin,Doctor's assistant (nurse)
Arzt,Doctor / physician
Arzt (Chirurg),Doctor (Surgeon)
Arzt Med. Univ.,University Doctor
Arzt Medizin u. Chem.,Doctor In Medicine and Chemistry
Ärztliche Assistentin,Assistant physician (female)
Asfalteur,Asphalt Layer
Asphaltarbeiter,Asphalt Worker
Assistent,Assistant
Aufräumefrau,Cleaning woman
Aufräumerin,Cleaning woman
Augenarzt,Opthalmologist
Aushändler,Dealer
Auslader,Unloader
Austräger,Delivery Boy
Autogenschweisser,Gaswelder
Autoklempner,Motor Mechanic
Automechaniker,Auto mechanic
Automechaniker Gehilfe,Assistant auto mechanic
Automonteur,Auto assemblyman
Autoschlosser,Auto mechanic
Autoschlosser Gehilfe,Assistant auto mechanic
Autoschlossermeister,Master auto mechanic
Bãcker,Baker
Bäckerheizer,Backery Stoker
Bäckermeiste,Master baker
Bademeister,Bath/pool attendent
Bahnarbeiter,Railwayman
Bahnbeamter,Railways Clerk
Bahnhofsleiter,Stationmaster
Bahnschlosser,Railways Locksmith
Bahnwächter,Railways Guard
Bahnwärter,Railways Attendant
Bakteriolog,Bacteriologist
Ballett-Regis.,Ballet Stage Manager
Bandazist,Bandagist
Bandsägergehilfe,Assistant bandsaw operator
Bank Prokurist,Bank Authorized Signatory
Bankangestellter,Bank Clerk
Bankbeamter,Bank Employee
Bankdirektor,Bak Manager
Bauarbeiter,Construction worker
Bauchtechniker,Construction technician / engineer
Bau-Diplomiert-Ingenieur,Degreed constructional engineer
Bauer,Peasant
Bauer Fleischer,Peasant Butcher
Bauer Schuster,Peasant Cobbler
Bauer/Landwirt,Peasant / Farmer
Bauer/Schweißer,Peasant / Welder
Bauer-Maler,Peasant / Painter
Bauer-Müller,Peasant / Miller
Baufachmann für den Aufbau der neuen Raffinerieanl agen.,Construction specialist for the building of new refineries
Bauführer,Head constructin worker
Baugehilfe,Construction Aid
Bauglaser,Construction Glazier
Bauhilfsarb.,Construction Aid
Bauingeneur,Civil engineer
Baukalkulantin,Quantity surveyor in the building (female)
Baukarthotekführer,Responsible for keeping building plans
Bauklempner,Building Plumber
Bauleiter,Construction manager
Baumaschinentechniker,Construction machinist
Baumaterialienhändler,Building Materials Distributor
Baumeister,Master builder
Baumonteur,Building Assembler
Baumwollweber,Cotton Weaver
Baupolier,Construction foreman
Bauschlosser,Building locksmith
Bauschmied,Building Blacksmith
Bautechniker,Building technician
Bautischler,Building Carpenter
Bautischler,Carpenter
Bauunternehm.,Building Contractor
Bauzeichner,Draftsman
Beamter,Official / officer
Beifahrer,Co-Driver
Beilagetischler,Carpenter / framer
Beilagetischler,Carpenter - framer
Beizer/Pol.,Stainer?
Bergarbeiter,Mine Worker
Bergbau Tech.,Mining Technician
Bergbauarbeiter,Miner
Bergführer,Mountain Guide
Bergingenieur,Mining engineer
Bergmann,Coal Miner
Bergtechniker,Mining Technician
Beschlag Schloss.,Metal Fittings Locksmith
Besenbinder,Broom Binder
Beton Bohrer,Concrete Driller
Betonarbeiter,Concrete Worker
Betonarbeiterin,Concrete worker
Betonierer,Concrete Caster
Betonmeister,Concrete Foreman
Betreibsarzt,Factory doctor
Betriebsassistent,Factory assistant
Betriebsbuchhalter,Factory bookkeeper
Betriebsingenieur,Factory engineer
"Betriebsingenieur
  der Spalterfabrik","Factory engineer of the cracking
  unit"
Betriebsleiter,Factory manager
Betriebsschreiber,Factory Clerk
Betriebswirtschaftlicher der Erdöllgewinn und Verarbeitung,Economist for oil production and transformation
Bibliothekar,Librarian
Bienenzüchter,"Beekeeper, Apiculturist"
Bilanzbuchhalter,Balance sheet accountant
Bilanzbuchhalter und Betriebsorganisator,Balance sheet accountant and office organiyer
Bilanzbuchhalter und Betriebswirtschaftlicher,Balance sheet accountant and Industry economist
Bilanzbuchhalter und Sachverständiger im Naftawesen,Balance sheet accountant and expert for Nafta (crude oil)
Bilddrucker,Picture Printer
Bildhauer,Sculptor
Binnenschiffssteuermann,Inland Navigation Helmsman
Blaser,Blower
Blecher,Galvaniser / Sheet Metal Worker
Blechkontr.,Galvaniser Contractor
Bleicher,Bleacher
Bleicher,Bleacher
Bleischleifer,Lead Grinder/ Polisher
Blumenverkäufer,Flowers Salesman
Bohrarbeiter,Borer
Bohrassistent,Assistant driller
Bohrer,Borer
Bohrer-Metall,Metal Borer
Bohrgehilfe,Assistant construction driller
Bohringenieur,Construction driller
Bohrmeister,Master driller
Bohrmonteur,Drill mechanic
Bohrsortierer,Drill selector
Bohrtechniker,Drilling technician
Bohrwerkzeugmechaniker,Drilling mill mechanic
Borstenzurichter,Bristle preparor
Bote,Messenger
Böttcher,Cooper
Brauereimeister,Brewer Foreman
Brettersortierer,Shelf / plank sorter
Briefträger,Postman
Brückenbau-Ing.,Bridge Building Engeneer
Brückenbautechn.,Bridge Building Technician
Bruder,Brother (Friar)
Brunnenbauer,Well Sinker
Brunnenbohrer,Well Borer
Buchbinder,Bookbinder
Buchbindergesellin,Assistant bookbinder
Buchbinderlehrling,Bookbinder Apprentice
Buchbindermeister,Master bookbinder
Buchbindermeister,Head bookbinder
Buchdrucker,Book Printer
Bücherrevisor u. Jurist,Accountant and lawyer
Buchhalter,Accountant / bookkeeper
Buchhalter - Bautechnik,Accountant - architect
Buchhalter und Werkstatt Kalkulator,Accountant and workshop calculator
Buchhalterin u. Maschinenschreiberin,Accountant - machinery inventory
Buchhaltungsleiter,Head accountant / Office manager
Buchhändler,Bookseller
Bügler,Ironer
Büroangestellte,White-collar worker / clerk
Bürobeamte,Government office worker
Bürochef,Office Chief
Bürodiener,Office Boy
Bürogehilfe,Office Help
Bürokrat,Beaurocrat
Bürstenbinder,Broom maker
Bürstenbindergeselle,Assistant broom maker
Bürstenmacher,Broom maker
Bürstenmeister,Brushes Foreman
Bürstner,(Bristle) Brush Manufacturer
Büstenbinder,Brush Bonder
Chauffeur,Driver
Chauffeur/ Monteur,Driver / Mechanic
Chauffeur-Mechaniker,Driver / Mechanic
Chefkoch,Chef (Cook)
Chem. Walzarb.,Chemistry Mill Worker
Chem.Magister,Chemistry Master (Of Science)
Chemie Arbeiter,Chemistry Worker
Chemieingenieur,Chemistry Engeneer
Chemigraph,Zincographer
Chemiker,Chemist
Chemiker Laborant,Chemist Laboratory Assistant
Chemiker Stud.,Chemist Student
Chemisch Laborantin,Chemical laboratory assistant
Chemischputzer,Cheical cleaner
Dachdecker,Roofer
Dachziegelarbeiter,Tiler
Dachziegeltechn.,Tiler Technician
Daktylograf,Typist
Damenfriseur,Hairdresser (Ladies)
Damenhutmacher,Hatter (Ladies)
Dampf Masch. Heizer,Steam Machine Stoker
Dampfmaschinist,Steam Machine Operator
